emotion,frame,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
Surprise,33,1.61,1.09,0.22,0.0,1.42,1.03,0.0,2.78,2.01,3.22,0.01,0.07,0.13,0.0,0.49,0.28,1.22
Surprise,34,1.54,0.85,0.29,0.0,1.46,1.17,0.0,2.79,1.92,3.16,0.04,0.12,0.24,0.0,0.54,0.24,1.26
Surprise,35,1.15,0.51,0.28,0.0,1.58,1.16,0.0,2.85,1.84,3.13,0.05,0.12,0.24,0.0,0.6,0.25,1.04
Surprise,36,0.86,0.14,0.19,0.0,1.69,1.21,0.01,2.86,1.85,3.19,0.03,0.06,0.12,0.0,0.68,0.18,0.9
Surprise,37,0.78,0.03,0.1,0.0,1.74,1.17,0.01,2.83,1.83,3.23,0.03,0.07,0.02,0.0,0.68,0.17,0.74
Surprise,38,0.74,0.0,0.21,0.0,1.79,1.32,0.05,2.94,1.92,3.25,0.03,0.08,0.0,0.0,0.69,0.2,0.6
Surprise,39,0.67,0.03,0.28,0.0,1.81,1.15,0.06,2.96,1.95,3.19,0.03,0.12,0.0,0.0,0.74,0.22,0.59
Surprise,40,0.53,0.03,0.41,0.0,1.92,1.14,0.16,2.96,2.01,3.1,0.0,0.17,0.09,0.0,0.84,0.32,0.59
Surprise,41,0.45,0.03,0.37,0.0,1.96,0.96,0.23,2.88,1.95,2.93,0.0,0.28,0.14,0.0,0.9,0.32,0.78
Surprise,42,0.43,0.0,0.45,0.0,2.05,1.3,0.34,2.96,2.0,2.85,0.02,0.31,0.16,0.0,0.87,0.35,0.53
Surprise,43,0.4,0.0,0.51,0.0,2.07,1.58,0.37,3.17,2.05,2.85,0.06,0.23,0.08,0.0,0.68,0.28,0.04
Surprise,1,0.35,0.0,0.56,0.23,0.06,1.04,0.0,0.0,0.2,0.0,0.0,0.0,0.0,2.08,0.0,0.17,0.0
Surprise,2,0.12,0.0,0.35,0.08,0.48,1.07,0.0,0.15,0.39,0.68,0.0,0.0,0.07,1.27,0.11,0.14,0.0
Surprise,3,0.0,0.0,0.18,0.0,0.77,0.97,0.0,0.33,0.5,1.15,0.0,0.0,0.07,0.58,0.17,0.09,0.06
Surprise,4,0.0,0.0,0.13,0.0,0.87,0.8,0.0,0.53,0.56,1.31,0.0,0.0,0.07,0.15,0.25,0.12,0.1
Surprise,5,0.0,0.0,0.18,0.0,0.92,0.76,0.0,0.59,0.57,1.44,0.0,0.0,0.04,0.0,0.24,0.1,0.13
Surprise,6,0.0,0.0,0.19,0.0,0.94,0.64,0.0,0.6,0.54,1.47,0.0,0.0,0.09,0.0,0.32,0.11,0.17
Surprise,7,0.0,0.0,0.15,0.0,0.94,0.58,0.0,0.53,0.5,1.47,0.0,0.0,0.09,0.01,0.34,0.02,0.24
Surprise,8,0.0,0.0,0.06,0.0,1.02,0.57,0.0,0.56,0.5,1.57,0.08,0.0,0.07,0.01,0.4,0.05,0.21
Surprise,9,0.0,0.0,0.04,0.0,1.05,0.71,0.0,0.63,0.57,1.76,0.08,0.02,0.04,0.01,0.28,0.11,0.11
Surprise,10,0.0,0.0,0.02,0.0,1.05,0.56,0.0,0.63,0.59,1.75,0.08,0.13,0.18,0.04,0.24,0.1,0.0
Surprise,11,0.0,0.0,0.05,0.0,1.03,0.62,0.03,0.56,0.55,1.79,0.15,0.17,0.26,0.04,0.09,0.12,0.0
Surprise,12,0.0,0.0,0.11,0.0,1.0,0.58,0.05,0.53,0.53,1.73,0.26,0.19,0.23,0.08,0.09,0.12,0.0
Surprise,13,0.0,0.0,0.09,0.0,1.04,0.77,0.1,0.55,0.56,1.82,0.3,0.09,0.09,0.04,0.06,0.24,0.0
Surprise,14,0.0,0.0,0.08,0.0,0.98,0.93,0.11,0.59,0.61,1.7,0.18,0.05,0.0,0.06,0.13,0.27,0.0
Surprise,15,0.0,0.0,0.03,0.0,0.96,1.1,0.12,0.63,0.6,1.63,0.17,0.0,0.0,0.08,0.13,0.28,0.0
Surprise,16,0.0,0.0,0.08,0.0,0.93,1.22,0.08,0.71,0.56,1.63,0.13,0.12,0.06,0.14,0.07,0.17,0.0
Surprise,17,0.0,0.0,0.08,0.0,0.99,1.16,0.03,0.74,0.56,1.69,0.18,0.23,0.06,0.12,0.03,0.1,0.0
Surprise,18,0.0,0.0,0.08,0.0,1.02,1.01,0.0,0.72,0.58,1.67,0.15,0.35,0.09,0.06,0.1,0.04,0.13
Surprise,19,0.0,0.0,0.02,0.0,0.99,0.94,0.0,0.65,0.64,1.64,0.23,0.37,0.02,0.0,0.14,0.04,0.5
Surprise,20,0.16,0.0,0.0,0.0,0.84,0.72,0.0,0.56,0.71,1.73,0.18,0.43,0.02,0.0,0.11,0.03,1.11
Surprise,21,0.36,0.0,0.0,0.0,0.82,0.67,0.0,0.45,0.73,1.7,0.12,0.51,0.0,0.0,0.07,0.0,1.4
Surprise,22,0.56,0.0,0.0,0.0,0.83,0.51,0.0,0.46,0.76,1.68,0.04,0.58,0.0,0.0,0.07,0.0,1.46
Surprise,23,1.32,0.0,0.18,0.04,0.91,0.68,0.0,0.52,0.79,1.55,0.05,0.65,0.0,0.0,0.15,0.11,1.42
Surprise,24,1.78,0.0,0.18,0.04,0.76,0.48,0.0,0.57,0.81,1.51,0.2,0.69,0.0,0.0,0.19,0.11,1.69
Surprise,25,1.94,0.0,0.29,0.04,0.7,0.43,0.0,0.63,0.77,1.57,0.25,0.74,0.03,0.0,0.23,0.16,1.77
Surprise,26,1.04,0.0,0.36,0.0,0.76,0.55,0.0,0.73,0.75,1.63,0.25,0.8,0.09,0.0,0.29,0.25,1.48
Surprise,27,0.38,0.0,0.62,0.0,0.95,1.06,0.02,0.88,0.73,1.71,0.21,0.92,0.09,0.0,0.37,0.41,1.03
Surprise,28,0.02,0.0,0.87,0.0,1.05,1.38,0.19,1.02,0.66,1.67,0.35,0.77,0.06,0.06,0.33,0.59,0.54
Surprise,29,0.0,0.0,0.91,0.0,1.04,1.46,0.28,0.99,0.5,1.55,0.37,0.78,0.01,0.14,0.18,0.62,0.26
Surprise,30,0.0,0.0,0.94,0.0,0.97,1.37,0.34,0.89,0.35,1.45,0.35,0.76,0.06,0.24,0.04,0.63,0.02
Surprise,31,0.0,0.0,0.87,0.0,0.99,1.38,0.3,0.81,0.32,1.41,0.21,0.91,0.06,0.27,0.0,0.55,0.0
Surprise,32,0.0,0.0,0.9,0.0,1.0,1.36,0.37,0.78,0.34,1.46,0.19,0.84,0.05,0.27,0.0,0.49,0.0
Surprise,33,0.0,0.0,0.95,0.0,1.09,1.35,0.38,0.79,0.36,1.53,0.14,0.7,0.0,0.23,0.05,0.37,0.0
Surprise,34,0.0,0.0,0.95,0.0,1.06,1.28,0.24,0.71,0.37,1.49,0.09,0.67,0.02,0.21,0.08,0.21,0.0
Surprise,35,0.0,0.0,0.94,0.0,1.02,1.11,0.11,0.66,0.34,1.26,0.05,0.55,0.02,0.18,0.09,0.05,0.0
Surprise,36,0.18,0.0,0.9,0.0,0.86,0.94,0.04,0.56,0.3,1.07,0.02,0.48,0.02,0.13,0.1,0.0,0.0
Surprise,37,0.53,0.0,0.88,0.0,0.74,0.74,0.03,0.49,0.29,0.92,0.02,0.31,0.0,0.06,0.15,0.0,0.0
Surprise,38,1.06,0.02,0.73,0.0,0.7,0.62,0.0,0.49,0.45,1.01,0.0,0.44,0.0,0.0,0.21,0.0,0.0
Surprise,39,1.48,0.04,0.61,0.07,0.76,0.62,0.0,0.57,0.61,1.01,0.0,0.47,0.0,0.0,0.2,0.0,0.01
Surprise,40,1.77,0.1,0.47,0.07,0.79,0.57,0.0,0.56,0.7,1.06,0.0,0.59,0.07,0.0,0.13,0.0,0.01
Surprise,41,1.86,0.13,0.46,0.07,0.8,0.62,0.0,0.47,0.71,1.0,0.0,0.55,0.07,0.0,0.07,0.04,0.08
Surprise,42,1.93,0.22,0.44,0.0,0.74,0.6,0.0,0.4,0.67,1.06,0.0,0.57,0.07,0.0,0.07,0.15,0.14
Surprise,43,1.99,0.26,0.5,0.01,0.81,0.56,0.0,0.43,0.68,1.08,0.0,0.57,0.0,0.0,0.06,0.15,0.14
Surprise,44,2.07,0.37,0.55,0.01,0.83,0.54,0.0,0.45,0.61,1.16,0.0,0.46,0.0,0.0,0.05,0.15,0.07
Surprise,45,2.13,0.44,0.63,0.02,0.86,0.47,0.0,0.47,0.55,1.21,0.0,0.43,0.0,0.0,0.01,0.1,0.0
Surprise,46,2.18,0.46,0.73,0.06,0.79,0.49,0.0,0.42,0.52,1.32,0.0,0.45,0.0,0.0,0.01,0.15,0.0
Surprise,47,2.23,0.45,0.79,0.08,0.71,0.36,0.0,0.35,0.54,1.34,0.0,0.58,0.0,0.0,0.0,0.15,0.0
Surprise,48,2.21,0.39,0.79,0.16,0.66,0.3,0.0,0.35,0.6,1.27,0.0,0.68,0.0,0.0,0.0,0.12,0.0
Surprise,49,2.25,0.52,0.75,0.13,0.67,0.4,0.0,0.37,0.62,1.13,0.0,0.65,0.0,0.0,0.0,0.08,0.0
Surprise,50,2.35,0.73,0.73,0.08,0.75,0.68,0.0,0.42,0.62,0.98,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Surprise,1,0.0,0.0,0.23,0.0,0.0,0.23,0.08,0.0,0.0,0.0,0.08,0.17,0.15,0.27,0.0,0.0,0.0
Surprise,2,0.0,0.0,0.46,0.06,0.0,0.16,0.19,0.0,0.0,0.05,0.22,0.18,0.12,0.24,0.0,0.05,0.05
Surprise,3,0.0,0.0,0.69,0.06,0.0,0.19,0.25,0.0,0.0,0.21,0.32,0.2,0.07,0.22,0.0,0.05,0.05
Surprise,4,0.0,0.0,0.8,0.0,0.0,0.25,0.32,0.0,0.0,0.29,0.35,0.17,0.0,0.21,0.0,0.06,0.0
Surprise,5,0.0,0.0,0.73,0.0,0.0,0.18,0.27,0.0,0.0,0.24,0.2,0.24,0.01,0.26,0.0,0.03,0.0
Surprise,6,0.0,0.0,0.69,0.0,0.0,0.09,0.25,0.0,0.0,0.12,0.16,0.3,0.01,0.23,0.0,0.03,0.0
Surprise,7,0.0,0.0,0.74,0.0,0.0,0.03,0.19,0.0,0.0,0.09,0.12,0.28,0.02,0.14,0.0,0.02,0.16
Surprise,8,0.0,0.0,0.84,0.0,0.0,0.0,0.21,0.0,0.0,0.21,0.17,0.3,0.0,0.05,0.0,0.0,0.16
Surprise,9,0.0,0.0,0.83,0.0,0.0,0.0,0.21,0.0,0.0,0.3,0.12,0.32,0.0,0.01,0.0,0.0,0.16
Surprise,10,0.0,0.0,0.65,0.0,0.0,0.03,0.23,0.0,0.0,0.34,0.1,0.42,0.06,0.05,0.01,0.0,0.04
Surprise,11,0.0,0.0,0.52,0.0,0.0,0.03,0.17,0.0,0.0,0.33,0.03,0.45,0.11,0.09,0.01,0.05,0.04
Surprise,12,0.0,0.0,0.49,0.09,0.0,0.03,0.12,0.0,0.0,0.27,0.0,0.4,0.11,0.08,0.09,0.05,0.04
Surprise,13,0.09,0.0,0.56,0.09,0.0,0.0,0.13,0.0,0.0,0.29,0.04,0.38,0.05,0.04,0.09,0.05,0.09
Surprise,14,0.14,0.0,0.66,0.09,0.0,0.0,0.17,0.0,0.0,0.28,0.04,0.35,0.0,0.0,0.13,0.0,0.23
Surprise,15,0.14,0.0,0.66,0.0,0.0,0.0,0.22,0.0,0.0,0.3,0.05,0.34,0.0,0.01,0.11,0.0,0.4
Surprise,16,0.05,0.0,0.58,0.0,0.0,0.0,0.19,0.0,0.0,0.44,0.0,0.29,0.06,0.03,0.1,0.0,0.4
Surprise,17,0.0,0.0,0.46,0.0,0.0,0.0,0.15,0.0,0.0,0.46,0.0,0.19,0.06,0.03,0.07,0.0,0.26
Surprise,18,0.0,0.01,0.37,0.0,0.0,0.0,0.08,0.0,0.0,0.45,0.03,0.14,0.06,0.02,0.0,0.0,0.09
Surprise,19,0.0,0.02,0.34,0.0,0.0,0.0,0.03,0.0,0.0,0.29,0.03,0.14,0.0,0.0,0.0,0.03,0.0
Surprise,20,0.0,0.02,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.03,0.17,0.0,0.0,0.0,0.03,0.0
Surprise,21,0.0,0.14,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.12,0.28,0.0,0.01,0.0,0.05,0.0
Surprise,22,0.0,0.16,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.36,0.28,0.39,0.0,0.0,0.0,0.02,0.0
Surprise,23,0.0,0.28,0.18,0.01,0.0,0.0,0.0,0.0,0.0,0.35,0.36,0.43,0.0,0.0,0.0,0.02,0.0
Surprise,24,0.0,0.21,0.35,0.04,0.0,0.0,0.0,0.0,0.0,0.28,0.29,0.37,0.0,0.0,0.0,0.0,0.0
Surprise,25,0.0,0.23,0.39,0.06,0.0,0.0,0.0,0.0,0.0,0.22,0.22,0.31,0.0,0.0,0.0,0.0,0.01
Surprise,26,0.0,0.19,0.44,0.18,0.0,0.0,0.0,0.0,0.0,0.24,0.2,0.4,0.02,0.02,0.0,0.06,0.01
Surprise,27,0.0,0.14,0.33,0.19,0.0,0.0,0.0,0.0,0.0,0.31,0.15,0.49,0.09,0.07,0.0,0.12,0.09
Surprise,28,0.0,0.11,0.3,0.16,0.0,0.0,0.0,0.0,0.0,0.24,0.07,0.45,0.09,0.1,0.02,0.13,0.18
Surprise,29,0.01,0.08,0.2,0.04,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.36,0.07,0.1,0.02,0.08,0.28
Surprise,30,0.06,0.09,0.15,0.09,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.29,0.01,0.1,0.08,0.02,0.29
Surprise,31,0.06,0.06,0.18,0.17,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.33,0.01,0.14,0.08,0.01,0.37
Surprise,32,0.07,0.06,0.25,0.19,0.0,0.0,0.01,0.0,0.03,0.32,0.1,0.48,0.01,0.14,0.09,0.06,0.27
Surprise,33,0.07,0.04,0.23,0.11,0.0,0.0,0.01,0.0,0.04,0.31,0.1,0.53,0.05,0.09,0.19,0.1,0.26
Surprise,34,0.11,0.04,0.12,0.02,0.0,0.0,0.01,0.0,0.06,0.28,0.11,0.55,0.09,0.02,0.38,0.18,0.18
Surprise,35,0.1,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.28,0.05,0.43,0.14,0.0,0.43,0.15,0.22
Surprise,36,0.1,0.0,0.01,0.07,0.0,0.0,0.0,0.0,0.06,0.26,0.09,0.38,0.09,0.0,0.38,0.12,0.19
Surprise,37,0.15,0.0,0.01,0.07,0.0,0.0,0.0,0.0,0.03,0.23,0.2,0.32,0.07,0.01,0.28,0.1,0.2
Surprise,38,0.25,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.02,0.08,0.18,0.22,0.09,0.01,0.39,0.13,0.29
Surprise,39,0.36,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.14,0.16,0.19,0.01,0.43,0.22,0.36
Surprise,40,0.27,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.2,0.36,0.0,0.47,0.17,0.28
Surprise,41,0.31,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.11,0.15,0.18,0.3,0.0,0.34,0.25,0.15
Surprise,42,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.12,0.22,0.21,0.24,0.0,0.26,0.37,0.03
Surprise,43,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.12,0.17,0.08,0.06,0.0,0.41,0.7,0.0
Surprise,44,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.01,0.07,0.09,0.04,0.0,0.59,0.87,0.0
Surprise,45,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.15,0.0,0.0,0.01,0.0,0.0,0.72,0.94,0.0
Surprise,46,0.12,0.04,0.0,0.0,0.0,0.0,0.0,0.06,0.17,0.0,0.0,0.03,0.05,0.0,0.73,0.91,0.0
Surprise,47,0.15,0.04,0.0,0.0,0.0,0.0,0.0,0.06,0.19,0.0,0.0,0.02,0.05,0.0,0.64,0.85,0.0
Surprise,48,0.23,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.02,0.05,0.0,0.71,0.93,0.0
Surprise,49,0.29,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.07,0.0,0.02,0.01,0.0,0.73,1.0,0.0
Surprise,50,0.31,0.08,0.04,0.0,0.0,0.0,0.0,0.0,0.3,0.09,0.05,0.11,0.01,0.0,0.8,1.02,0.0
Surprise,51,0.31,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.29,0.09,0.05,0.11,0.01,0.0,0.74,0.92,0.0
Surprise,52,0.23,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.26,0.02,0.05,0.09,0.0,0.0,0.71,0.72,0.0
Surprise,53,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.04,0.0,0.0,0.77,0.66,0.0
Surprise,54,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.11,0.0,0.0,0.86,0.65,0.0
Surprise,55,0.21,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.32,0.08,0.0,0.18,0.01,0.0,0.93,0.82,0.0
Surprise,56,0.24,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.33,0.08,0.0,0.15,0.01,0.0,1.01,0.98,0.0
Surprise,57,0.24,0.07,0.0,0.0,0.0,0.01,0.0,0.07,0.32,0.08,0.0,0.09,0.01,0.0,1.01,1.06,0.0
Surprise,58,0.16,0.07,0.0,0.0,0.0,0.0,0.0,0.07,0.29,0.0,0.01,0.03,0.0,0.0,0.98,1.02,0.0
Surprise,59,0.09,0.07,0.0,0.0,0.0,0.0,0.0,0.07,0.26,0.0,0.01,0.02,0.03,0.0,0.88,0.89,0.0
Surprise,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.01,0.02,0.03,0.0,0.97,0.93,0.0
Surprise,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.26,0.0,0.0,0.02,0.08,0.0,1.04,0.93,0.0
Surprise,62,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.02,0.28,0.0,0.0,0.02,0.05,0.0,1.13,0.94,0.0
Surprise,63,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.02,0.39,0.0,0.0,0.0,0.05,0.0,1.23,0.79,0.06
Surprise,64,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,1.32,0.73,0.08
Surprise,65,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,1.46,0.67,0.16
Surprise,66,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,1.48,0.66,0.17
Surprise,67,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,1.5,0.63,0.2
Surprise,68,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,1.5,0.63,0.17
Surprise,69,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,1.49,0.63,0.16
Surprise,1,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.63
Surprise,2,0.01,0.0,0.05,0.0,0.0,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.14,0.55
Surprise,3,0.01,0.0,0.12,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.21,0.58
Surprise,4,0.02,0.0,0.19,0.0,0.0,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.27,0.47
Surprise,5,0.03,0.0,0.22,0.0,0.0,1.29,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.57,0.29,0.34
Surprise,6,0.04,0.0,0.22,0.0,0.0,1.31,0.0,0.0,0.0,0.0,0.04,0.05,0.0,0.0,0.59,0.35,0.13
Surprise,7,0.04,0.0,0.18,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.04,0.08,0.0,0.0,0.61,0.36,0.07
Surprise,8,0.02,0.0,0.17,0.0,0.0,1.49,0.0,0.0,0.0,0.0,0.05,0.07,0.01,0.0,0.52,0.35,0.03
Surprise,9,0.0,0.0,0.19,0.0,0.0,1.56,0.0,0.0,0.0,0.0,0.02,0.11,0.03,0.0,0.45,0.4,0.04
Surprise,10,0.0,0.0,0.22,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.02,0.1,0.05,0.0,0.38,0.43,0.13
Surprise,11,0.0,0.0,0.19,0.0,0.0,1.51,0.0,0.0,0.0,0.0,0.01,0.18,0.07,0.0,0.33,0.5,0.13
Surprise,12,0.0,0.0,0.12,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.21,0.08,0.0,0.29,0.49,0.12
Surprise,13,0.0,0.0,0.09,0.0,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.2,0.14,0.0,0.26,0.42,0.03
Surprise,14,0.0,0.0,0.11,0.0,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.11,0.26,0.0,0.31,0.36,0.03
Surprise,15,0.0,0.0,0.14,0.0,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.03,0.35,0.0,0.36,0.3,0.0
Surprise,16,0.0,0.0,0.15,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.09,0.39,0.0,0.4,0.32,0.03
Surprise,17,0.02,0.0,0.2,0.0,0.0,1.51,0.0,0.0,0.0,0.0,0.0,0.13,0.37,0.0,0.35,0.35,0.07
Surprise,18,0.02,0.0,0.25,0.0,0.0,1.56,0.0,0.0,0.0,0.0,0.0,0.13,0.38,0.01,0.38,0.36,0.07
Surprise,19,0.02,0.0,0.28,0.0,0.0,1.75,0.02,0.0,0.0,0.0,0.0,0.07,0.37,0.01,0.35,0.42,0.14
Surprise,20,0.0,0.0,0.28,0.0,0.0,1.83,0.01,0.0,0.0,0.0,0.0,0.04,0.33,0.01,0.36,0.49,0.18
Surprise,21,0.04,0.0,0.27,0.0,0.0,1.86,0.01,0.0,0.0,0.0,0.0,0.02,0.19,0.0,0.27,0.61,0.26
Surprise,22,0.07,0.0,0.23,0.0,0.0,1.69,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.0,0.22,0.67,0.25
Surprise,23,0.1,0.0,0.21,0.0,0.0,1.64,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.2,0.68,0.22
Surprise,24,0.22,0.0,0.14,0.0,0.0,1.64,0.0,0.0,0.0,0.0,0.0,0.14,0.09,0.0,0.21,0.6,0.14
Surprise,25,0.36,0.0,0.08,0.0,0.0,1.71,0.0,0.0,0.0,0.0,0.0,0.2,0.12,0.0,0.27,0.52,0.07
Surprise,26,1.06,0.61,0.0,0.0,0.0,1.49,0.0,0.0,0.0,0.0,0.0,0.19,0.07,0.0,0.33,0.54,0.0
Surprise,27,1.64,1.21,0.0,0.0,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.14,0.03,0.0,0.4,0.62,0.0
Surprise,28,2.37,1.96,0.0,0.07,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.42,0.7,0.0
Surprise,29,2.51,2.08,0.0,0.13,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.37,0.75,0.0
Surprise,30,2.54,2.18,0.0,0.13,0.0,0.91,0.0,0.0,0.0,0.0,0.23,0.13,0.0,0.0,0.22,0.68,0.0
Surprise,31,2.43,2.12,0.0,0.06,0.0,0.89,0.0,0.0,0.0,0.0,0.45,0.07,0.0,0.0,0.08,0.63,0.0
Surprise,32,2.02,1.87,0.0,0.04,0.0,0.91,0.0,0.0,0.0,0.0,1.02,0.12,0.0,0.0,0.0,0.51,0.0
Surprise,33,1.59,1.47,0.0,0.21,0.0,1.17,0.0,0.0,0.0,0.09,1.61,0.52,0.0,0.07,0.0,0.42,0.0
Surprise,34,1.15,1.03,0.0,0.37,0.0,1.42,0.0,0.0,0.0,0.16,2.21,0.92,0.0,0.14,0.0,0.32,0.0
Surprise,35,0.96,0.82,0.0,0.49,0.0,1.5,0.0,0.0,0.08,0.28,2.57,1.26,0.0,0.25,0.0,0.15,0.0
Surprise,36,0.9,0.8,0.0,0.47,0.0,1.32,0.0,0.0,0.16,0.32,2.66,1.31,0.0,0.29,0.0,0.09,0.0
Surprise,37,0.66,0.53,0.0,0.35,0.0,1.2,0.08,0.06,0.36,0.49,2.7,1.46,0.0,0.34,0.0,0.0,0.0
Surprise,38,0.38,0.27,0.0,0.19,0.07,1.34,0.24,0.22,0.55,0.75,2.59,1.57,0.0,0.39,0.0,0.0,0.0
Surprise,39,0.1,0.0,0.0,0.06,0.15,1.49,0.4,0.35,0.74,0.99,2.53,1.67,0.0,0.44,0.0,0.0,0.0
Surprise,40,0.0,0.0,0.0,0.02,0.34,1.77,0.54,0.42,0.9,1.16,2.46,1.7,0.0,0.48,0.0,0.0,0.0
Surprise,41,0.0,0.0,0.0,0.02,0.48,1.9,0.61,0.44,1.0,1.16,2.45,1.66,0.0,0.46,0.0,0.0,0.0
Surprise,42,0.0,0.0,0.0,0.0,0.64,1.97,0.71,0.53,1.13,1.24,2.37,1.59,0.0,0.41,0.0,0.0,0.0
Surprise,43,0.0,0.0,0.0,0.0,0.72,1.88,0.73,0.6,1.23,1.28,2.35,1.55,0.0,0.33,0.06,0.0,0.0
Surprise,44,0.0,0.0,0.0,0.0,0.78,1.83,0.75,0.66,1.33,1.33,2.33,1.55,0.0,0.27,0.08,0.0,0.0
Surprise,45,0.0,0.0,0.0,0.0,0.82,1.99,0.74,0.67,1.4,1.32,2.35,1.6,0.0,0.23,0.08,0.0,0.0
Surprise,46,0.0,0.0,0.0,0.0,0.83,2.15,0.76,0.69,1.42,1.31,2.36,1.61,0.0,0.25,0.04,0.0,0.0
Surprise,47,0.0,0.0,0.0,0.0,0.88,2.23,0.76,0.69,1.45,1.34,2.34,1.58,0.0,0.23,0.03,0.0,0.0
Surprise,48,0.0,0.0,0.0,0.0,0.92,2.16,0.81,0.71,1.49,1.37,2.27,1.5,0.0,0.22,0.03,0.0,0.0
Surprise,49,0.0,0.0,0.0,0.0,0.96,2.07,0.92,0.76,1.54,1.41,2.17,1.39,0.0,0.19,0.0,0.0,0.0
Surprise,1,0.7,0.0,0.81,0.0,0.0,0.0,0.0,0.17,0.39,0.0,0.0,0.27,0.0,0.78,1.94,1.85,0.0
Surprise,2,0.52,0.02,0.62,0.0,0.0,0.12,0.0,0.1,0.45,0.0,0.0,0.24,0.0,0.36,1.93,1.83,0.0
Surprise,3,0.4,0.03,0.5,0.0,0.01,0.44,0.0,0.07,0.48,0.01,0.0,0.19,0.0,0.1,1.88,1.75,0.0
Surprise,4,0.35,0.03,0.42,0.0,0.05,0.59,0.0,0.13,0.52,0.01,0.0,0.11,0.0,0.0,1.81,1.53,0.0
Surprise,5,0.31,0.04,0.39,0.0,0.14,0.83,0.0,0.14,0.59,0.01,0.0,0.06,0.0,0.0,1.91,1.38,0.07
Surprise,6,0.28,0.03,0.36,0.0,0.25,0.8,0.0,0.2,0.65,0.06,0.0,0.07,0.0,0.0,2.04,1.25,0.17
